UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 05:57 ?        00:00:01 /sbin/init splash
root           2       0  0 05:57 ?        00:00:00 [kthreadd]
root           3       2  0 05:57 ?        00:00:00 [rcu_gp]
root           4       2  0 05:57 ?        00:00:00 [rcu_par_gp]
root           5       2  0 05:57 ?        00:00:00 [slub_flushwq]
root           6       2  0 05:57 ?        00:00:00 [netns]
root           8       2  0 05:57 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 05:57 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 05:57 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 05:57 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 05:57 ?        00:00:01 [ksoftirqd/0]
root          14       2  0 05:57 ?        00:00:18 [rcu_sched]
root          15       2  0 05:57 ?        00:00:01 [migration/0]
root          16       2  0 05:57 ?        00:00:00 [idle_inject/0]
root          18       2  0 05:57 ?        00:00:00 [cpuhp/0]
root          19       2  0 05:57 ?        00:00:00 [cpuhp/1]
root          20       2  0 05:57 ?        00:00:00 [idle_inject/1]
root          21       2  0 05:57 ?        00:00:01 [migration/1]
root          22       2  0 05:57 ?        00:00:01 [ksoftirqd/1]
root          24       2  0 05:57 ?        00:00:00 [kworker/1:0H-events_highpri]
root          25       2  0 05:57 ?        00:00:00 [kdevtmpfs]
root          26       2  0 05:57 ?        00:00:00 [inet_frag_wq]
root          27       2  0 05:57 ?        00:00:00 [kauditd]
root          28       2  0 05:57 ?        00:00:00 [khungtaskd]
root          29       2  0 05:57 ?        00:00:00 [oom_reaper]
root          30       2  0 05:57 ?        00:00:00 [writeback]
root          31       2  0 05:57 ?        00:00:08 [kcompactd0]
root          32       2  0 05:57 ?        00:00:00 [ksmd]
root          33       2  0 05:57 ?        00:00:00 [khugepaged]
root          80       2  0 05:57 ?        00:00:00 [kintegrityd]
root          81       2  0 05:57 ?        00:00:00 [kblockd]
root          82       2  0 05:57 ?        00:00:00 [blkcg_punt_bio]
root          83       2  0 05:57 ?        00:00:00 [tpm_dev_wq]
root          84       2  0 05:57 ?        00:00:00 [ata_sff]
root          85       2  0 05:57 ?        00:00:00 [md]
root          86       2  0 05:57 ?        00:00:00 [edac-poller]
root          87       2  0 05:57 ?        00:00:00 [devfreq_wq]
root          88       2  0 05:57 ?        00:00:00 [watchdogd]
root          90       2  0 05:57 ?        00:00:10 [kworker/0:1H-kblockd]
root          92       2  0 05:57 ?        00:00:15 [kswapd0]
root          93       2  0 05:57 ?        00:00:00 [ecryptfs-kthrea]
root          95       2  0 05:57 ?        00:00:00 [kthrotld]
root          96       2  0 05:57 ?        00:00:00 [acpi_thermal_pm]
root          98       2  0 05:57 ?        00:00:00 [scsi_eh_0]
root          99       2  0 05:57 ?        00:00:00 [scsi_tmf_0]
root         100       2  0 05:57 ?        00:00:00 [scsi_eh_1]
root         101       2  0 05:57 ?        00:00:00 [scsi_tmf_1]
root         103       2  0 05:57 ?        00:00:00 [vfio-irqfd-clea]
root         105       2  0 05:57 ?        00:00:00 [mld]
root         106       2  0 05:57 ?        00:00:10 [kworker/1:1H-kblockd]
root         107       2  0 05:57 ?        00:00:00 [ipv6_addrconf]
root         118       2  0 05:57 ?        00:00:00 [kstrp]
root         121       2  0 05:57 ?        00:00:00 [zswap-shrink]
root         122       2  0 05:57 ?        00:00:00 [kworker/u5:0]
root         127       2  0 05:57 ?        00:00:00 [charger_manager]
root         171       2  0 05:57 ?        00:00:00 [scsi_eh_2]
root         172       2  0 05:57 ?        00:00:00 [scsi_tmf_2]
root         173       2  0 05:57 ?        00:00:00 [cryptd]
root         188       2  0 05:57 ?        00:00:00 [ttm_swap]
root         190       2  0 05:57 ?        00:00:05 [irq/18-vmwgfx]
root         192       2  0 05:57 ?        00:00:00 [card0-crtc0]
root         194       2  0 05:57 ?        00:00:00 [card0-crtc1]
root         196       2  0 05:57 ?        00:00:00 [card0-crtc2]
root         199       2  0 05:57 ?        00:00:00 [card0-crtc3]
root         201       2  0 05:57 ?        00:00:00 [card0-crtc4]
root         203       2  0 05:57 ?        00:00:00 [card0-crtc5]
root         206       2  0 05:57 ?        00:00:00 [card0-crtc6]
root         208       2  0 05:57 ?        00:00:00 [card0-crtc7]
root         285       2  0 05:58 ?        00:00:02 [jbd2/sda3-8]
root         286       2  0 05:58 ?        00:00:00 [ext4-rsv-conver]
root         336       1  0 05:58 ?        00:00:01 /lib/systemd/systemd-journald
root         371       1  0 05:58 ?        00:00:00 /lib/systemd/systemd-udevd
root         398       2  0 05:58 ?        00:00:00 [iprt-VBoxWQueue]
root         519       2  0 05:58 ?        00:00:00 [spl_system_task]
root         520       2  0 05:58 ?        00:00:00 [spl_delay_taskq]
root         521       2  0 05:58 ?        00:00:00 [spl_dynamic_tas]
root         522       2  0 05:58 ?        00:00:00 [spl_kmem_cache]
root         523       2  0 05:58 ?        00:00:00 [zvol]
root         524       2  0 05:58 ?        00:00:00 [arc_prune]
root         525       2  0 05:58 ?        00:00:00 [arc_evict]
root         526       2  0 05:58 ?        00:00:03 [arc_reap]
root         527       2  0 05:58 ?        00:00:00 [dbu_evict]
root         528       2  0 05:58 ?        00:00:03 [dbuf_evict]
root         529       2  0 05:58 ?        00:00:00 [z_vdev_file]
root         530       2  0 05:58 ?        00:00:01 [l2arc_feed]
systemd+     563       1  0 05:58 ?        00:00:01 /lib/systemd/systemd-resolved
systemd+     564       1  0 05:58 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         579       1  0 05:58 ?        00:00:01 /usr/libexec/accounts-daemon
root         580       1  0 05:58 ?        00:00:01 /usr/sbin/acpid
avahi        583       1  0 05:58 ?        00:00:00 avahi-daemon: running [student-VirtualBox.local]
root         585       1  0 05:58 ?        00:00:00 /usr/sbin/cron -f -P
message+     586       1  0 05:58 ?        00:00:03 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         587       1  0 05:58 ?        00:00:02 /usr/sbin/NetworkManager --no-daemon
root         595       1  0 05:58 ?        00:00:01 /usr/sbin/irqbalance --foreground
